# t	u	y	glucose	insulin	remote_insulin_effect	infusion_rate	meal_disturbance
# model_name=glucose_insulin_bergman, controlled_output=glucose_deviation, dt=0.1 sec, dt_sim=0.01 sec, input_type=random_steps, preg_blackbox_enabled=False, r_preg=-0.05, Gb=5.5, Ib=10, U0=0, U_gain=2.2, tau_pump=0.2, p1=0.025, p2=0.03, p3=0.0012, n=0.1, V_I=12, meal_amp=0.12, meal_time=45, meal_tau=14
1.8774000000e+03	4.5560087213e-02	-3.1367578347e+00	2.3632421653e+00	1.0958187015e+01	3.5673310482e-02	1.1500814490e+00	0.0000000000e+00
1.8775000000e+03	4.5560087213e-02	-3.1373455633e+00	2.3626544367e+00	1.0958189146e+01	3.5681261188e-02	1.1500814490e+00	0.0000000000e+00
1.8776000000e+03	4.5560087213e-02	-3.1379316062e+00	2.3620683938e+00	1.0958191256e+01	3.5689188332e-02	1.1500814490e+00	0.0000000000e+00
1.8777000000e+03	4.5560087213e-02	-3.1385159672e+00	2.3614840328e+00	1.0958193345e+01	3.5697091982e-02	1.1500814490e+00	0.0000000000e+00
1.8778000000e+03	4.5560087213e-02	-3.1390986501e+00	2.3609013499e+00	1.0958195413e+01	3.5704972206e-02	1.1500814490e+00	0.0000000000e+00
1.8779000000e+03	4.5560087213e-02	-3.1396796586e+00	2.3603203414e+00	1.0958197461e+01	3.5712829071e-02	1.1500814490e+00	0.0000000000e+00
1.8780000000e+03	4.5560087213e-02	-3.1402589965e+00	2.3597410035e+00	1.0958199488e+01	3.5720662645e-02	1.1500814490e+00	0.0000000000e+00
1.8781000000e+03	4.5560087213e-02	-3.1408366674e+00	2.3591633326e+00	1.0958201495e+01	3.5728472994e-02	1.1500814490e+00	0.0000000000e+00
1.8782000000e+03	4.5560087213e-02	-3.1414126751e+00	2.3585873249e+00	1.0958203483e+01	3.5736260188e-02	1.1500814490e+00	0.0000000000e+00
1.8783000000e+03	4.5560087213e-02	-3.1419870233e+00	2.3580129767e+00	1.0958205450e+01	3.5744024291e-02	1.1500814490e+00	0.0000000000e+00
1.8784000000e+03	4.5560087213e-02	-3.1425597158e+00	2.3574402842e+00	1.0958207398e+01	3.5751765372e-02	1.1500814490e+00	0.0000000000e+00
